,Source,Target,Weight
0,11-1011.00,11-1011.03,0.00993629281008
1,11-1011.00,11-1021.00,0.0135366162939
2,11-1011.00,11-2011.00,0.00720176368447
3,11-1011.00,11-2021.00,0.00720788236035
4,11-1011.00,11-2022.00,0.0086401267282
5,11-1011.00,11-2031.00,0.00647319078407
6,11-1011.00,11-3011.00,0.0141613063597
7,11-1011.00,11-3031.01,0.00883652582121
8,11-1011.00,11-3031.02,0.0110863976065
9,11-1011.00,11-3061.00,0.0125780619457
10,11-1011.00,11-3071.01,0.00682755214179
11,11-1011.00,11-3071.03,0.0082161719286
12,11-1011.00,11-3111.00,0.00919198347096
13,11-1011.00,11-3121.00,0.00608389129569
14,11-1011.00,11-9032.00,0.0133094171901
15,11-1011.00,11-9071.00,0.0143330010723
16,11-1011.00,11-9111.00,0.0125283341388
17,11-1011.00,11-9151.00,0.00644250826257
18,11-1011.00,11-9161.00,0.0124695850916
19,11-1011.00,11-9199.03,0.0134305927718
20,11-1011.00,11-9199.04,0.00746680408094
21,11-1011.00,11-9199.11,0.0132470388463
22,11-1011.00,13-1021.00,0.0138985717666
23,11-1011.00,13-1022.00,0.0103438493594
24,11-1011.00,13-1023.00,0.00986273504725
25,11-1011.00,13-1051.00,0.00942906518843
26,11-1011.00,13-1081.00,0.0139301865971
27,11-1011.00,13-1121.00,0.0119501048168
28,11-1011.00,13-1131.00,0.0138753095016
29,11-1011.00,13-2011.02,0.0140713172225
30,11-1011.00,15-1199.09,0.00645669831469
31,11-1011.00,19-3051.00,0.0123611362218
32,11-1011.00,19-3099.01,0.0122204839218
33,11-1011.00,21-2021.00,0.0100698241163
34,11-1011.00,25-4012.00,0.0108995282585
35,11-1011.00,27-2012.01,0.0089307462085
36,11-1011.00,27-2012.03,0.00948334848856
37,11-1011.00,41-1012.00,0.00727081727813
