Source;Target
376088951;17647430
376088951;25478329
376088951;32416061
376088951;43096205
376088951;8427182
376088951;550180187
376088951;28110685
376088951;870137221
25478329;43096205
25478329;8427182
25478329;28110685
25478329;870137221
25478329;14845783
25478329;8951652
25478329;63293
25478329;7591982
25478329;6753482
25478329;289731706
25478329;369689042
25478329;22606966
25478329;193763394
25478329;191004748
25478329;199663247
25478329;61502712
25478329;3558021
25478329;49430094
25478329;74447545
25478329;213408766
25478329;2230301
25478329;36637683
25478329;17870064
25478329;123516974
25478329;10161492
25478329;340169200
25478329;16856080
25478329;94154580
25478329;188521917
25478329;20059362
25478329;20646457
25478329;15205208
25478329;395167263
25478329;109562464
25478329;42428580
