,Unnamed: 0,Source,Target,Weight
5,5,11-1011.00,11-2031.00,0.00647319078407
15,15,11-1011.00,11-3071.01,0.00682755214179
19,19,11-1011.00,11-3121.00,0.00608389129569
42,42,11-1011.00,11-9151.00,0.00644250826257
121,121,11-1011.00,15-1199.09,0.00645669831469
954,954,11-1011.03,11-2011.00,0.00579021246673
955,955,11-1011.03,11-2021.00,0.00654563810051
956,956,11-1011.03,11-2022.00,0.00444871746245
957,957,11-1011.03,11-2031.00,0.00526834379819
967,967,11-1011.03,11-3071.01,0.00461372821303
969,969,11-1011.03,11-3071.03,0.00682711471571
971,971,11-1011.03,11-3121.00,0.00505230919118
978,978,11-1011.03,11-9032.00,0.00649717203227
994,994,11-1011.03,11-9151.00,0.00501673389007
995,995,11-1011.03,11-9161.00,0.00392126198449
997,997,11-1011.03,11-9199.02,0.0062677284688
1000,1000,11-1011.03,11-9199.07,0.00616778687102
1015,1015,11-1011.03,13-1041.07,0.00514035913484
1020,1020,11-1011.03,13-1081.00,0.00453641680446
1032,1032,11-1011.03,13-1199.04,0.0070339709685
1033,1033,11-1011.03,13-1199.05,0.00591195530401
1036,1036,11-1011.03,13-2011.02,0.00459073352636
1046,1046,11-1011.03,13-2071.01,0.00630658114755
1073,1073,11-1011.03,15-1199.09,0.00707976490574
1187,1187,11-1011.03,19-3051.00,0.00716824560853
1193,1193,11-1011.03,19-3099.01,0.00599969584077
1223,1223,11-1011.03,21-2021.00,0.00424116528177
1283,1283,11-1011.03,25-4012.00,0.00613386658266
1306,1306,11-1011.03,27-2012.03,0.00681209277592
1439,1439,11-1011.03,33-1012.00,0.00588706768383
1525,1525,11-1011.03,41-1012.00,0.00678893472739
1909,1909,11-1021.00,11-3011.00,0.00534211294949
1917,1917,11-1021.00,11-3061.00,0.00613829780466
1918,1918,11-1021.00,11-3071.01,0.00715795585938
1919,1919,11-1021.00,11-3071.02,0.00641111639366
1920,1920,11-1021.00,11-3071.03,0.0064397995926
1927,1927,11-1021.00,11-9021.00,0.00427505016977
1933,1933,11-1021.00,11-9041.00,0.00702001526775
1943,1943,11-1021.00,11-9131.00,0.00528737137332
1946,1946,11-1021.00,11-9161.00,0.00708445160777
1951,1951,11-1021.00,11-9199.07,0.00585340951261
1955,1955,11-1021.00,13-1021.00,0.00583634176502
2251,2251,11-1021.00,27-1025.00,0.0062634874472
2257,2257,11-1021.00,27-2012.03,0.00649436879732
2390,2390,11-1021.00,33-1012.00,0.00482151834024
2458,2458,11-1021.00,39-4031.00,0.00689201845324
2475,2475,11-1021.00,41-1011.00,0.00586514975596
2856,2856,11-2011.00,11-2021.00,0.00468772985617
2857,2857,11-2011.00,11-2022.00,0.00649426696821
2858,2858,11-2011.00,11-2031.00,0.00272262382861
2859,2859,11-2011.00,11-3011.00,0.00675371505029
2862,2862,11-2011.00,11-3031.02,0.00607395351935
2868,2868,11-2011.00,11-3071.01,0.00353322669354
2871,2871,11-2011.00,11-3111.00,0.00388378541868
2872,2872,11-2011.00,11-3121.00,0.00494289274148
2895,2895,11-2011.00,11-9151.00,0.00611509197937
2907,2907,11-2011.00,13-1023.00,0.00709914530439
2974,2974,11-2011.00,15-1199.09,0.00675927796006
3124,3124,11-2011.00,21-2021.00,0.00536079570509
3205,3205,11-2011.00,27-2012.01,0.0058256606982
3426,3426,11-2011.00,41-1012.00,0.0047598376411
3806,3806,11-2021.00,11-2022.00,0.00679891141148
3807,3807,11-2021.00,11-2031.00,0.00478122529947
3817,3817,11-2021.00,11-3071.01,0.00550463989126
3820,3820,11-2021.00,11-3111.00,0.0049844112014
3821,3821,11-2021.00,11-3121.00,0.00294893608952
3844,3844,11-2021.00,11-9151.00,0.00685906574788
3870,3870,11-2021.00,13-1081.00,0.00649023387007
3876,3876,11-2021.00,13-1141.00,0.00716976056072
3886,3886,11-2021.00,13-2011.02,0.00574250913529
4037,4037,11-2021.00,19-3051.00,0.004996963433
4073,4073,11-2021.00,21-2021.00,0.00549001027668
4375,4375,11-2021.00,41-1012.00,0.00681533860099
4755,4755,11-2022.00,11-2031.00,0.00671641295201
4765,4765,11-2022.00,11-3071.01,0.00578915882539
4767,4767,11-2022.00,11-3071.03,0.00666884787366
4769,4769,11-2022.00,11-3121.00,0.00484973779253
4792,4792,11-2022.00,11-9151.00,0.0048324190733
4793,4793,11-2022.00,11-9161.00,0.00489022052673
4818,4818,11-2022.00,13-1081.00,0.00711849195791
4844,4844,11-2022.00,13-2071.01,0.00647820407675
5021,5021,11-2022.00,21-2021.00,0.00517434263761
5104,5104,11-2022.00,27-2012.03,0.00690300699566
5237,5237,11-2022.00,33-1012.00,0.00662993072453
5315,5315,11-2022.00,39-7012.00,0.00644658835303
5323,5323,11-2022.00,41-1012.00,0.00518398961733
5706,5706,11-2031.00,11-3031.02,0.0059627981507
5712,5712,11-2031.00,11-3071.01,0.0055068601013
