,Id,Code,Url,Root,Par,Description,Green Occupational Category,salary_US,education_level_required_description,Category,Probability
0,Chief Executives,11-1011.00,https://www.mynextmove.org/profile/summary/11-1011.00,11,11-1011,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",,175110.0,Bachelor's Degree,Management Occupations,0.015
1,Chief Sustainability Officers,11-1011.03,https://www.mynextmove.org/profile/summary/11-1011.03,11,11-1011,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Green New & Emerging,175110.0,Bachelor's Degree,Management Occupations,0.015
2,General and Operations Managers,11-1021.00,https://www.mynextmove.org/profile/summary/11-1021.00,11,11-1021,"Plan, direct, or coordinate the operations of public or private sector organizations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.",Green Enhanced Skills,97730.0,Some College Courses,Management Occupations,0.16
3,Advertising and Promotions Managers,11-2011.00,https://www.mynextmove.org/profile/summary/11-2011.00,11,11-2011,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",,95890.0,Associate's Degree (or other 2-year degree),Management Occupations,0.039
4,Marketing Managers,11-2021.00,https://www.mynextmove.org/profile/summary/11-2021.00,11,11-2021,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Green Enhanced Skills,128750.0,Bachelor's Degree,Management Occupations,0.014
5,Sales Managers,11-2022.00,https://www.mynextmove.org/profile/summary/11-2022.00,11,11-2022,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",,113860.0,Bachelor's Degree,Management Occupations,0.013
6,Public Relations and Fundraising Managers,11-2031.00,https://www.mynextmove.org/profile/summary/11-2031.00,11,11-2031,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client; or if engaged in fundraising, plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,104140.0,Bachelor's Degree,Management Occupations,0.015
7,Administrative Services Managers,11-3011.00,https://www.mynextmove.org/profile/summary/11-3011.00,11,11-3011,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, facilities planning and maintenance, custodial operations, and other office support services.",,86110.0,"Post-Secondary Certificate - awarded for training completed after high school (for example, in Personnel Services, Engineering-related Technologies, Vocational Home Economics, Construction Trades, Mechanics and Repairers, Precision Production Trades)",Management Occupations,0.73
8,Computer and Information Systems Managers,11-3021.00,https://www.mynextmove.org/profile/summary/11-3021.00,11,11-3021,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,131600.0,Bachelor's Degree,Management Occupations,0.035
9,Treasurers and Controllers,11-3031.01,https://www.mynextmove.org/profile/summary/11-3031.01,11,11-3031,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",,117990.0,Bachelor's Degree,Management Occupations,0.069
10,"Financial Managers, Branch or Department",11-3031.02,https://www.mynextmove.org/profile/summary/11-3031.02,11,11-3031,"Direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.",,117990.0,Some College Courses,Management Occupations,0.069
11,Industrial Production Managers,11-3051.00,https://www.mynextmove.org/profile/summary/11-3051.00,11,11-3051,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",Green Increased Demand,93940.0,Some College Courses,Management Occupations,0.03
12,Quality Control Systems Managers,11-3051.01,https://www.mynextmove.org/profile/summary/11-3051.01,11,11-3051,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",,93940.0,Bachelor's Degree,Management Occupations,0.03
13,Geothermal Production Managers,11-3051.02,https://www.mynextmove.org/profile/summary/11-3051.02,11,11-3051,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,Green New & Emerging,93940.0,"Post-Secondary Certificate - awarded for training completed after high school (for example, in Personnel Services, Engineering-related Technologies, Vocational Home Economics, Construction Trades, Mechanics and Repairers, Precision Production Trades)",Management Occupations,0.03
14,Biomass Power Plant Managers,11-3051.04,https://www.mynextmove.org/profile/summary/11-3051.04,11,11-3051,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",Green New & Emerging,93940.0,Associate's Degree (or other 2-year degree),Management Occupations,0.03
15,Purchasing Managers,11-3061.00,https://www.mynextmove.org/profile/summary/11-3061.00,11,11-3061,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",,108120.0,Bachelor's Degree,Management Occupations,0.03
16,Transportation Managers,11-3071.01,https://www.mynextmove.org/profile/summary/11-3071.01,11,11-3071,"Plan, direct, or coordinate the transportation operations within an organization or the activities of organizations that provide transportation services.",Green Enhanced Skills,86630.0,High School Diploma (or GED or High School Equivalence Certificate),Management Occupations,
17,Storage and Distribution Managers,11-3071.02,https://www.mynextmove.org/profile/summary/11-3071.02,11,11-3071,"Plan, direct, or coordinate the storage or distribution operations within an organization or the activities of organizations that are engaged in storing or distributing materials or products.",Green Enhanced Skills,86630.0,Some College Courses,Management Occupations,
