"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"1","Accountants",3.25,3.88,3.38,3.12,3.62,1,1,1,2.5,3.5,2.75,2.38,1.75,2.62,3.88,3.12,2.75,1,1.62,2.75,2.62,1.38,1.12,3.75,1,1.88,2.75,2.88,3.62,3.12,2.75,1.5,3.38,1,3.75,"Importance"
"2","Actors",3,3.88,2.88,3.25,3.38,1.12,1,1,2.62,3.25,2.75,1,1,2.5,1,3.38,2.5,1,1.12,2,2.75,1,1,3.88,1,1.62,2.25,3.88,4.12,1.75,1.75,1.12,3.12,1,3,"Importance"
"3","Actuaries",3.38,3.75,4,3.12,4.25,1,1,1,2.88,4.25,3.38,3.25,2.38,2.75,4.38,3.12,2.75,1.12,1.75,3.25,3,2.62,2.12,4,1,2.25,2.88,3.25,3.75,3.88,3.88,1.62,3,1.12,3.25,"Importance"
"4","Acupuncturists",3.12,3.75,3,3,3.75,1,1.25,1,2.62,3.5,2.5,1.75,1.88,2.38,2.25,3.25,2.5,1.25,2,1.5,2.62,1.38,2.25,3.25,1,2.62,3.62,3.62,3.5,2.75,2.75,1.62,2.75,1.5,3.25,"Importance"
"5","Acute Care Nurses",3.75,4,3.75,3.75,4,1,1.88,1,3.38,3.75,3.12,2,2.12,3,2.75,4,3,2.88,3,2.5,3,1.62,2.38,4,1,3,4,4,4,3,3,2,3.12,2,3.5,"Importance"
"6","Adapted Physical Education Specialists",3.5,4.12,3.12,3.25,3.5,1,1.25,1.12,4.12,3.62,3.62,1.62,2,3,2.12,3.75,2.88,1.38,2.12,2,3.25,1.38,2.12,3.88,1.12,1.38,4.12,3.88,3.88,3,3.12,1.62,3.38,1.88,3.62,"Importance"
"7","Adhesive Bonding Machine Operators and Tenders",2.62,3.12,2.75,3,2.88,2.88,2.12,1.12,2.25,2.62,2.25,1.75,1.75,1.88,2.5,3.12,1.88,3.88,3.75,1.75,2,1.62,3.12,3,3,1.5,2.25,2.88,3.12,2.75,2.12,1.25,3,3,2.75,"Importance"
"8","Administrative Law Judges, Adjudicators, and Hearing Officers",3.5,4.12,4.12,3,4.38,1,1,1,2.88,4.12,2.62,1.75,1.5,2.62,2.38,3.62,3.12,1,1.62,2.12,2.88,1.62,1.25,4.25,1,1.5,2.88,3.62,4,2.75,2.88,1.5,3.38,1,4.12,"Importance"
"9","Administrative Services Managers",3.12,3.88,3.12,3.75,3.5,1,1,1,3.12,3.38,2.75,2.62,2.75,3.38,2.38,3.25,3.5,1.25,2.25,2.5,3,1.38,2.38,3.62,1,1.25,3.25,3.38,4,3.12,2.75,1.38,3.62,1.75,3.62,"Importance"
"10","Adult Basic and Secondary Education and Literacy Teachers and Instructors",3.5,4,3.38,3.38,3.5,1,1,1,4.38,3.5,3.62,1.12,1.38,2.75,2.75,3.62,2.88,1,1.75,1.12,2.88,1.38,1.12,3.88,1,1.5,3.5,3.5,4.12,2.62,2.62,1.62,3.38,1,3.88,"Importance"
"11","Advanced Practice Psychiatric Nurses",3.88,4.25,3.75,3.62,4,1,1,1,3.75,3.88,3.75,2,2,2.88,2.5,3.75,3.62,1,2,1.38,3.5,1.5,1.5,4,1,2.75,3.88,4.25,4,3.38,3.25,1.5,3.62,1.12,3.88,"Importance"
"12","Advertising and Promotions Managers",3.25,4,3.5,3.5,3.75,1,1.25,1,2.88,3.75,2.75,2.88,2.5,3.12,3,3.25,3.38,1.25,1.62,2.88,3.25,1.38,1.88,3.75,1,1.5,3.12,4,4,3.12,3,1.62,3.88,1.12,3.75,"Importance"
"13","Advertising Sales Agents",2.88,3.75,2.62,3.25,3.25,1,1.12,1,2.38,3,2.5,2.12,2,2.38,2.88,3,3.5,2.12,2.38,2.25,3.88,1.62,1.62,3.25,1,1.25,3.62,4,3.75,2.62,2.38,1.75,3.38,1,3.25,"Importance"
"14","Aerospace Engineering and Operations Technicians",3.25,3.88,3.5,2.88,3.88,2.88,2.5,1.88,2.75,3.38,2.75,1.75,1.75,2.5,2.62,3.38,2.62,3,3.62,2.5,2.62,1.75,3.5,3.5,2.62,3.12,2.5,3,3.62,2.62,2.62,2,3.25,3.12,3.25,"Importance"
"15","Aerospace Engineers",3.62,3.88,3.88,3.25,4.12,1,1.25,1,3,3.75,3.38,1.88,1.75,2.75,3.88,3.75,3,1.25,2.88,3.88,3.12,2.12,3.25,4,1,4,2.88,3,3.88,3.38,3.5,3.25,3.25,2,3.88,"Importance"
"16","Agents and Business Managers of Artists, Performers, and Athletes",3.5,4,3.5,3.62,3.88,1,1,1,2.88,3.25,2.5,2.38,1.88,3.38,2.25,3.12,4,1.62,1.62,2.25,4.12,1.62,1,3.88,1,1.5,3.38,4,4.12,2.5,2.25,1.38,3.75,1,3.62,"Importance"
"17","Agricultural Engineers",3.38,3.88,4,3.25,4.12,1.12,1.62,1.25,3,3.88,2.88,2.12,2.38,2.88,3.62,3.38,2.88,2.12,3.12,2.62,2.88,2,2.5,4,1.12,3.38,2.75,3.12,3.75,3.62,3.62,2.88,3.25,2.38,4,"Importance"
"18","Agricultural Equipment Operators",2.12,3,2.75,2.5,2.88,2.88,2.38,1.25,2.12,2.5,1.12,1,1.12,2.25,1.12,2.62,1.75,3.88,3.88,1.25,2,1,3.12,2.25,3.12,1.62,1.75,3,2.88,1.75,1.75,1.12,2.38,3.12,2,"Importance"
"19","Agricultural Inspectors",3.25,3.75,3.12,3.12,3.62,1,1.12,1,3,3.25,2.88,1.62,1.75,2.62,2.62,3.75,2.88,2.5,3.25,1.75,2.88,1.5,4.12,3.75,1,2.75,2.88,2.75,3.5,3.12,3.12,1.75,2.88,2,3.12,"Importance"
"20","Agricultural Sciences Teachers, Postsecondary",4,4.12,3.62,3.62,3.88,1,1.12,1,4.5,3.88,4.12,1.88,2.12,3,3,3.88,2.62,1.88,1.88,2.25,2.88,1.75,2.38,4.25,1,3.25,3,3.25,4.38,2.88,3.12,1.5,3.62,1.75,4,"Importance"
"21","Agricultural Technicians",3,3.25,3.25,3,3.25,1.5,1.62,1,3,3,2.75,2,2,2.62,3.12,3.12,2.62,2.62,2.88,1.25,2.62,1.62,1.62,3.5,1.75,3,2.88,2.88,3,2.62,2.5,1.62,3,2.25,3.25,"Importance"
"22","Air Traffic Controllers",3.75,4.38,4,3.88,4.12,1.25,1.25,1,3.12,4.12,3.12,1.75,1.75,2.88,2.88,4,2.62,2.5,3.25,2.75,2.88,1.75,2.75,3.75,1.12,1.75,3.12,3.38,4.25,3.25,3.12,1.75,3.5,2,3.12,"Importance"
"23","Aircraft Cargo Handling Supervisors",3.38,3.75,3.12,3.62,3.62,2.25,2.12,1,3.12,3.25,3.5,1.88,2.25,3.62,2.75,3.62,2.88,2.62,3.12,2.25,2.88,1.62,2.75,3.12,2.38,1.25,2.88,3.12,3.5,3,2.75,1.62,3.5,2.5,3,"Importance"
"24","Aircraft Mechanics and Service Technicians",3,3.25,3.88,3,3.88,4.25,3.25,2.38,3,3.25,2.62,1.5,2.12,2.62,2.25,3.38,2.38,3.38,4.12,2.12,2.88,1.5,3.88,3.75,4.25,2.5,3,3,3.38,3.12,3,2,3,4.12,2.88,"Importance"
"25","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2.88,3.12,3,2.88,3.12,3,2.88,2.88,2.88,3,2.62,2,2.12,2.25,2.5,3.12,2.25,2.88,2.88,1.88,2.25,1.5,3.38,3,2.88,1.75,2.38,2.75,3,2.88,2.88,2,3,2.88,2.75,"Importance"
"26","Airfield Operations Specialists",3.25,4,3.25,3.62,3.75,1,1.12,1,3.12,3.12,2.88,1.62,2,2.75,2.12,3.62,2.88,2.5,2.88,2.5,3,1.5,2.12,3.75,1,1.5,3,3,3.75,3,3.12,1.62,3,1.88,3.25,"Importance"
"27","Airline Pilots, Copilots, and Flight Engineers",3.75,4,3.88,3.62,4,1.88,1,1,3,3.88,3.12,1.88,2.12,3,3.25,4,2.88,4.88,4.75,2.25,2.75,1.88,3.12,3.88,1,3,3,3.38,3.88,3.38,3.25,1.38,3.75,3.12,3.12,"Importance"
"28","Allergists and Immunologists",4,4.38,4,3.38,4.25,1,1.25,1,3.62,4.25,3.5,1.88,2,2.88,2.88,4.25,2.88,1,2.25,1.38,3.25,1.38,1.88,4.5,1,3.62,3.5,3.75,4.38,3.25,3.38,1.5,3.62,1.75,4.12,"Importance"
"29","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",3,3.5,3,3.12,3.5,2,1.75,1,2.88,3,2.38,1.25,1.75,2.5,1.88,3.12,2.75,2.88,2.75,2,2.75,1,1.75,2.88,1.88,1.62,3.5,3,3.38,2,2,1.25,2.62,1.88,2.62,"Importance"
"30","Amusement and Recreation Attendants",2.25,3.38,2.25,2.88,2.75,1.62,1.25,1,2.12,2.62,2,1.12,1.5,2,2,2.88,2.12,2.5,2.25,1.12,2.62,1.5,1.75,2.38,1.62,1,3.25,3.25,3.62,2,1.88,1.25,2.5,1.62,2.5,"Importance"
"31","Anesthesiologist Assistants",3.5,4,3.12,3.12,3.62,2.25,2.38,1.25,2.75,3.62,2.88,1.75,2.12,2.62,2.88,3.75,2.38,3,3.38,1.38,2.5,1.38,2.88,3.75,2,3,3.25,3.12,3.62,2.75,2.75,1.75,3.38,2.5,3.12,"Importance"
"32","Anesthesiologists",3.62,4.12,4,3.12,4.5,1,1.38,1,3.12,4.12,3.25,2.25,2.12,3,3,4.12,2.88,2.75,3.62,2.62,3,1.12,2.75,4,1,4,3.25,3.75,3.88,3.12,3.25,1.62,3.75,2.12,4,"Importance"
"33","Animal Breeders",2.75,3,3,2.88,3.12,1,1.12,1,2,3,2,2.25,2.38,2.5,2.25,3.25,2.12,2.88,3,2,2.75,1.5,2.75,3,1,3.25,2.5,2.75,3,2.25,2,1.38,3,2.12,2.75,"Importance"
"34","Animal Control Workers",3,3.75,3.25,3,3.62,1.12,1.25,1,2.88,3.25,2.62,1.38,1.75,2.12,1.62,3.12,2.75,1.88,2.25,2.12,2.88,1.12,1.88,3,1,1.25,3.12,3.25,3.62,2,2,1.25,2.75,1.38,2.88,"Importance"
"35","Animal Scientists",3.5,4.12,3.88,3.5,3.88,1,1.12,1,3.12,3.75,3.12,1.88,2,3,3.25,3.62,2.88,2.12,2.75,2.75,2.88,1.38,2.75,4.25,1,4.25,2.88,3.25,3.88,3.5,3.38,1.62,3.5,1.75,4.12,"Importance"
"36","Animal Trainers",3.25,3.12,3,3,3.38,1,1.12,1,3.75,3.12,3.5,1.75,2,2.62,1.88,3.12,2.5,1.75,2,1.75,2.88,1.12,2.12,2.88,1,1.75,3,3,3.5,2.88,2.88,1.75,3,1.75,2.88,"Importance"
"37","Anthropologists",3.88,4,3.88,3,4,1,1.12,1,3.12,3.75,3.25,1.75,1.88,2.88,2.88,3.38,2.5,1.12,1.62,2.75,2.75,2,1.62,4,1,4,2.88,3.62,4.12,3.5,3.12,1.75,3,1,4,"Importance"
"38","Anthropology and Archeology Teachers, Postsecondary",4,4,3.75,3,4,1,1,1,4,3.75,4,1.88,1.88,2.75,2.38,3.5,2.88,1,1,2.5,3,1.25,1.25,4.25,1,3.62,3,3.38,4.5,3.38,3.5,1.12,3.62,1,4,"Importance"
"39","Appraisers, Real Estate",3.12,3.88,3,2.62,3.88,1,1.12,1,1.88,3.75,1.88,2,2,1.88,3.25,2.5,2.38,2,1.88,1.62,2.62,1.38,1.62,4,1,1.88,2.75,2.88,3.62,2.62,2.12,1.38,3.12,1.5,3.75,"Importance"
"40","Aquacultural Managers",3.25,3.75,3.5,3.38,3.88,2.25,2.12,1.12,3,3.75,2.88,2.62,2.38,3.38,2.5,3.62,3.12,2.75,3.12,2.88,3,1.5,2.88,3.75,2.12,3.25,2.88,3.5,3.88,3.38,3.25,1.62,3.75,2.38,3.5,"Importance"
"41","Arbitrators, Mediators, and Conciliators",3.75,4.5,3.75,3.38,4.12,1,1,1,2.75,4,3,1,1,2.25,2,3,4.62,1.12,1.62,1.75,4.12,1.5,1.25,4,1,1.62,3.25,3.62,4.25,2.5,2.75,1.5,3.12,1,4,"Importance"
"42","Archeologists",3.88,4.12,3.75,3.75,4,1,1.25,1,3.25,3.38,3.25,2.25,2.75,3.12,3.12,3.12,2.75,1.88,2.12,2.5,3,1.75,1.75,4.12,1,3.75,2.88,3.12,4.12,3.12,3.12,1.75,3.12,1.25,4.25,"Importance"
"43","Architects, Except Landscape and Naval",3.5,3.88,3.88,3.75,4,1,1.12,1,2.88,3.88,3.12,2.88,3,3.25,3.38,3.75,3.12,2,2.25,3.88,3.25,1.88,3.25,3.88,1,2.62,3,3.12,4,3.5,3.25,1.88,3,2,3.62,"Importance"
"44","Architectural and Engineering Managers",3.5,3.88,3.75,3.75,4,1,1.25,1.12,3.25,3.75,3.12,3,3,3.12,3.62,3.62,3.38,1.88,2.5,2.25,3.38,2,2.88,4.12,1.12,2.38,3,3.5,3.75,3.25,3.25,1.88,3.75,1.88,3.62,"Importance"
"45","Architectural Drafters",3.12,3.62,3,3.25,3.5,1,1.62,1,2.75,3.38,2.75,2.38,2.62,2.5,3.12,3.12,2.5,1.62,2.25,2.62,2.62,2.38,2.75,3.38,1,2.12,2.62,2.88,3.38,3,2.62,1.75,3.12,1.62,3.12,"Importance"
"46","Architecture Teachers, Postsecondary",3.88,4,3.75,3.12,4,1,1,1,4.12,3.75,4,1.75,2,2.75,2.88,3.5,2.62,1,1.62,2.75,3,1.62,1.5,4,1,2.12,3,3.5,4,3.25,3.25,1.75,3.25,1,4,"Importance"
"47","Archivists",3.25,3.75,3.12,3,3.25,1,1,1,2.88,3.38,2.75,2,2.25,2.88,2,3,2.62,1,1.62,2.12,2.75,1.88,1.5,3.88,1,1.75,3,3,3.12,2.88,2.38,1.5,3.12,1.25,3.75,"Importance"
"48","Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4,4.12,3.5,3,4,1,1,1,4,3.25,3.88,1.62,1.88,3,2,3.25,2.38,1,1.38,2.75,2.88,1.62,1.5,4.25,1,3.12,3,3.25,4.25,2.88,2.88,1.5,3.12,1,3.88,"Importance"
"49","Art Directors",3.38,4,3.75,3.62,3.75,1.75,1.75,1,3,3.88,3,3,2.62,3.38,2.38,3.25,3,1.12,1.88,3,3.38,1.62,2.5,3.75,1.75,1.38,3,3.38,4,3,2.88,1.75,3.88,1.88,3.25,"Importance"
"50","Art Therapists",3.5,4,3.25,3.38,3.88,1,1.75,1,3.25,3.88,3.12,1.25,1.5,2.88,2.12,3.5,3.25,1.25,1.62,2.25,3.38,1.5,1.5,3.75,1,2.25,3.75,4.25,4,3.12,3,1.88,3.12,1,3.62,"Importance"
"51","Art, Drama, and Music Teachers, Postsecondary",4,4,3.38,3.12,3.75,1,1.25,1,4.5,3.38,4,2.12,2.25,3,2,3.88,2.88,1,1.25,2.62,2.88,1.12,1.38,4,1,1.88,3.12,3.5,4.62,2.88,2.88,1.25,4,1,3.75,"Importance"
"52","Assessors",3.5,3.88,3.12,2.75,3.88,1,1,1,2.5,3.38,2.25,2,1.88,2.75,3.12,3.12,2.88,2,2.25,1.88,3,1.75,2.5,4,1,1.5,3.12,3.5,3.75,2.75,2.5,1.12,3,2,3.38,"Importance"
"53","Astronomers",4.12,3.88,3.38,3.12,4.12,1,1.25,1,3.12,3.62,3.38,2.5,2.25,2.62,4,3.25,2.62,1.62,1.88,2.75,2.88,1.88,1.38,4.12,1,4.25,3.12,3.12,3.88,3,2.88,2.38,3.12,1,4,"Importance"
"54","Athletes and Sports Competitors",2.88,3.88,2.88,3.5,3.5,1.25,1.12,1,2.75,3.25,2.5,1,1.12,2.62,1.62,3.38,2.75,1.12,2.12,2.12,2.88,1,1.75,2.75,1,1.75,2.62,3.38,3.62,2.25,2.5,1.5,2.88,1.5,2.5,"Importance"
"55","Athletic Trainers",3.75,4,3.12,3.38,4,1,1.88,1,3.62,3.75,3.25,2,2,2.88,2.25,4,2.5,2,2.62,2.38,3.12,1.25,2.75,3.62,1,2.75,3.75,3.75,3.88,3.12,3.12,2.12,3.38,2,3.75,"Importance"
"56","Atmospheric and Space Scientists",3.88,4,3.88,3,4,1,1,1,3.38,3.88,3.25,1.5,1.88,2.88,2.88,3.38,2.88,1.25,1.88,2.88,3,1.5,1.5,4.12,1,4.12,3.12,3.25,4,3.38,3,1.5,3.25,1,3.88,"Importance"
