"","Title","Active Learning","Active Listening","Complex Problem Solving","Coordination","Critical Thinking","Equipment Maintenance","Equipment Selection","Installation","Instructing","Judgment and Decision Making","Learning Strategies","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources","Mathematics","Monitoring","Negotiation","Operation and Control","Operation Monitoring","Operations Analysis","Persuasion","Programming","Quality Control Analysis","Reading Comprehension","Repairing","Science","Service Orientation","Social Perceptiveness","Speaking","Systems Analysis","Systems Evaluation","Technology Design","Time Management","Troubleshooting","Writing","dim"
"1","Accountants",3.38,3.62,3.25,3,3.88,0,0,0,2.88,3.5,2.75,2.25,1.25,2.62,3.75,3.38,2.88,0,0.88,3.25,2.75,0.5,0.25,3.75,0,1.62,3,3,3.62,3.5,3.12,0.62,2.88,0,3.38,"Level"
"2","Actors",3.12,3.88,2.75,3.38,3.38,0.25,0,0,2.75,3,2.75,0,0,2.5,0,3.38,2.5,0,0.12,1.75,3,0,0,4.12,0,1,2.38,3.62,3.62,1.62,1.62,0.25,3,0,3.62,"Level"
"3","Actuaries",4.12,4.38,4.5,3.38,4.75,0,0,0,3.5,4.75,3.62,3.62,2.12,2.75,4.88,3.62,3.12,0.12,1.25,3.5,3.75,2.62,2,4.5,0,1.88,3.12,3.38,4,4.5,4.5,1,3.38,0.25,4.12,"Level"
"4","Acupuncturists",3.5,3.62,3.25,2.88,3.88,0,0.5,0,2.75,3.5,2.88,1.5,1.75,2.12,2,3.62,2.25,0.5,1.25,1.25,2.88,0.62,2.12,3.88,0,2.12,3.38,3.75,3.62,2.62,3.12,1,2.62,0.75,3.5,"Level"
"5","Acute Care Nurses",3.88,3.88,3.75,3.88,4,0,1,0,4,4,3.62,1.62,1.88,3,2.88,4.12,3.12,2.75,3,2.62,3.12,0.75,2.5,4.5,0,3.12,3.88,4.62,4,3.12,3.25,1.12,3.25,1.62,3.62,"Level"
"6","Adapted Physical Education Specialists",3.62,4.12,3.12,3.5,3.62,0,0.25,0.25,3.5,3.5,3.88,0.75,1.5,3,2.12,3.75,3,0.75,2.12,1.5,3.5,0.5,1.75,4,0.25,0.62,3.5,4.25,3.88,3,3.25,1.25,3.25,1.25,3.75,"Level"
"7","Adhesive Bonding Machine Operators and Tenders",2.38,2.75,2.5,3,2.75,3.12,2.12,0.12,2.38,2.5,2.12,0.75,1.25,1.75,2.38,3.12,1.62,3.75,4,0.75,1.88,0.62,3.5,2.5,2.88,0.5,2,2.38,2.62,2.62,1.88,0.25,2.88,3,2.25,"Level"
"8","Administrative Law Judges, Adjudicators, and Hearing Officers",4.25,5.75,4.12,3.12,5.12,0,0,0,3,4.62,3,1.25,0.62,2.62,2.5,4.12,3.62,0,0.75,2.12,3.62,1,0.62,5.12,0,0.88,2.88,3.88,5.12,2.88,3.25,0.5,3.12,0,5,"Level"
"9","Administrative Services Managers",3.38,3.75,3.25,3.75,3.62,0,0,0,3.12,3.25,3.12,2.75,2.75,3.5,2.25,3.5,3.38,0.38,2.25,2.38,3.25,0.5,2,3.88,0,0.38,3.38,3.62,3.88,3,3,0.5,3.62,1,3.5,"Level"
"10","Adult Basic and Secondary Education and Literacy Teachers and Instructors",3.38,3.5,2.88,3.5,3.5,0,0,0,3.88,3.12,3.88,0.25,0.88,3,2.75,3.75,3,0,1.5,0.25,3.25,0.5,0.25,4.12,0,0.88,3.25,3.5,3.62,2.75,2.88,1,3.5,0,3.88,"Level"
"11","Advanced Practice Psychiatric Nurses",4,4.25,3.38,3.88,4,0,0,0,3.25,3.75,3.62,1.75,1.88,2.88,2.5,3.88,3.75,0,1.62,0.38,3.62,0.5,0.62,4.25,0,2.75,3.75,4.5,4,3.12,3.12,0.5,3.5,0.12,4,"Level"
"12","Advertising and Promotions Managers",4,4.12,4,4.38,4.12,0,0.5,0,3.5,4.12,3.5,3.75,2.62,4,3.12,4.25,3.75,0.38,1,3.25,3.62,0.62,1.38,4.12,0,0.88,3.25,3.75,4.38,3.38,3.75,0.88,4,0.12,3.88,"Level"
"13","Advertising Sales Agents",3.5,3.88,3.12,3.38,3.88,0,0.25,0,2.5,3.12,2.62,1.88,1.5,2.25,3,3.62,3.88,1.88,2.25,2.12,4.38,1.12,1,3.75,0,0.38,3.88,3.62,4.12,3,3,1.25,3.25,0,3.38,"Level"
"14","Aerospace Engineering and Operations Technicians",3.25,3.5,3.38,3.12,3.62,3.5,2.38,1.62,2.88,3.25,2.75,1.25,1.38,2.75,2.62,3.25,2.5,3.25,3.38,2.88,2.5,1.12,3.62,3.62,2.88,3.5,2.5,2.88,3.38,3,2.88,1.25,3,3.25,3.38,"Level"
"15","Aerospace Engineers",3.88,4.12,4.25,3.5,4.62,0,0.38,0,3.25,3.88,3.75,1.38,1,3,4.75,3.88,3,0.62,3,5,3.12,1.75,3.88,5,0,5.12,2.75,3.12,4.25,4,3.88,3.75,3.5,2.5,4.5,"Level"
"16","Agents and Business Managers of Artists, Performers, and Athletes",3.12,3.75,2.88,3.5,3.75,0,0,0,2.75,3.75,2.75,2,1.5,3,2,3.5,4,0.88,0.88,2,4.12,0.62,0,3.88,0,0.5,3.5,3.25,3.88,2.38,2.38,0.5,3.38,0,3.5,"Level"
"17","Agricultural Engineers",3.88,4.12,4.25,3.5,4.38,0.38,1.12,0.38,3.38,4,3,2.12,2.75,3.25,3.88,3.88,3,1.62,3.25,2.62,3.38,1.5,2.5,4.5,0.25,3.12,2.88,3.12,3.75,3.62,3.62,2.88,3.5,2.38,4.25,"Level"
"18","Agricultural Equipment Operators",1.88,3,2.38,2.5,2.88,3.12,1.75,0.38,1.88,2,0.25,0,0.25,1.88,0.25,2.38,1.38,3.75,3.5,0.5,1.75,0,2.88,2,3,1.12,1.12,2.38,2.62,1,1,0.25,1.88,3,1.75,"Level"
"19","Agricultural Inspectors",3.38,3.62,3.25,3,4,0,0.12,0,2.88,3.38,3,0.75,1,2.25,2.75,4.12,2.75,2.38,3.38,1.38,2.88,0.5,3.88,4,0,2.75,2.88,2.75,3.88,3.25,3.25,0.75,2.88,1.5,3.62,"Level"
"20","Agricultural Sciences Teachers, Postsecondary",4.5,4.5,3.5,3.38,4.12,0,0.12,0,4.88,3.88,4.25,1.75,2,3.12,3.38,4.25,2.75,1.25,1.25,2.25,3.12,1.25,2.38,5.12,0,3.38,3,3.25,5,3.12,3.25,0.5,3.62,0.75,5,"Level"
"21","Agricultural Technicians",3,3.38,3.5,3,4,0.75,1,0,3,3,3,1.25,1.62,3,3,3.25,2.62,2.62,3,0.38,2.62,0.75,1,3.88,1.25,3,2.75,3,3.12,2.88,2.75,0.88,3,2.12,3.62,"Level"
"22","Air Traffic Controllers",3.75,4,4.5,4,4.12,0.25,0.25,0,3.38,4.12,3.38,0.75,0.88,2.75,3,4.25,2.25,2.38,3.12,2.88,2.88,0.75,2.62,4,0.12,1.5,3.38,3.25,3.88,3.25,3.25,0.75,3.5,1.88,3.12,"Level"
"23","Aircraft Cargo Handling Supervisors",3.25,3.25,3,3.38,3.5,1.88,1.75,0,2.75,3.12,3.62,1.38,2.12,3.88,2.88,3.75,2.88,2.62,2.38,2,2.62,0.88,2.5,3,1.88,0.5,2.75,3.12,3.12,2.88,2.5,0.88,3.25,2.12,3,"Level"
"24","Aircraft Mechanics and Service Technicians",3.12,3.38,3.88,3,4,4.75,3,2.12,3,3.38,2.88,0.62,1.88,2.25,2.25,3.12,2.12,3.25,4,2.12,2.75,0.5,3.88,4,4.25,2.62,2.88,3,3.25,3.25,3.25,1.25,3,4,3,"Level"
"25","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",3,3.12,2.88,2.88,3.12,3,2.88,3,2.88,3,2.88,1.38,1.62,2.38,2.75,3.12,2.25,2.88,3,1.38,2.25,1,3.75,3.12,3.12,1.5,2.38,2.25,3,2.88,2.62,1.88,3,2.88,3,"Level"
"26","Airfield Operations Specialists",3.12,3.88,3.38,3.88,3.75,0,0.12,0,3.12,3.38,3,0.88,1.38,3.25,2,4,3,2.5,2.88,2.62,3.12,0.62,2.25,4,0,0.88,3.25,3,3.62,3,3.25,0.62,3,1.5,3.25,"Level"
"27","Airline Pilots, Copilots, and Flight Engineers",4,3.88,3.88,3.62,4.12,1.75,0,0,4,4.25,3.25,1.25,2.12,3.38,3.88,4.12,2.75,5.62,4.88,2.38,2.75,1.12,3.12,4,0,3.12,3,3.38,3.75,3.25,3.38,0.38,4,3.25,3.38,"Level"
"28","Allergists and Immunologists",4.62,4.38,4.38,3.75,4.25,0,0.5,0,3.88,4.5,3.62,1.75,2.12,3.12,3,4.25,3,0,2.25,0.75,3.5,0.88,1.62,4.62,0,3.75,3.75,4.12,4.12,3,3.5,1.12,3.75,1.12,4.12,"Level"
"29","Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2.75,3.25,2.75,3.12,3.12,1.38,1.12,0,2.88,3,2.38,0.25,1.12,2.25,1.5,3.12,2.75,2.5,2.5,1.5,2.62,0,1.38,2.88,1.12,0.62,3.38,2.88,2.88,2,2,0.25,2.75,1.25,2.62,"Level"
"30","Amusement and Recreation Attendants",1.75,2.5,1.88,2.5,2.62,1.12,0.25,0,1.88,2.25,1.88,0.12,0.75,1.75,2,2.38,1.75,2.75,2.25,0.12,2.5,0.5,1.12,2,1,0,2.75,2.38,2.62,1.25,1,0.38,1.75,1,2,"Level"
